Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
220.146,-0.000,-23.776,7.725,0.586,0.000,0.000,0.805,0.000,0.000,0.000
221.153,-1.411,-0.641,2.070,0.531,-0.141,-0.211,0.797,-1.214,4.837,1.632
221.354,-1.556,1.749,1.485,0.461,-0.344,-0.484,0.648,0.938,3.951,1.410
221.457,-1.604,2.525,1.295,0.406,-0.477,-0.586,0.500,1.744,3.554,1.587
221.558,-1.632,2.992,1.181,0.359,-0.547,-0.617,0.414,2.217,3.291,1.798
221.659,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
221.760,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
221.861,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
221.963,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
222.064,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
222.165,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
222.277,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
222.379,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
222.480,-1.640,3.112,1.152,0.352,-0.570,-0.625,0.383,2.425,3.191,1.898
222.581,-0.947,3.727,2.264,0.563,0.063,0.125,0.805,-1.272,4.889,1.827
222.683,-0.947,3.727,2.264,0.563,0.063,0.125,0.805,-1.249,4.866,1.857
222.784,-0.947,3.727,2.264,0.563,0.063,0.125,0.805,-1.203,4.821,1.895
222.885,-0.947,3.727,2.264,0.563,0.063,0.125,0.805,-1.180,4.797,1.878
222.989,-0.940,3.771,2.276,0.555,0.039,0.117,0.813,-1.173,4.827,1.829
223.091,-0.918,3.787,2.312,0.516,0.039,0.070,0.844,-1.101,4.826,1.772
223.192,-0.890,3.795,2.352,0.484,0.000,0.117,0.859,-1.078,4.820,1.704
223.294,-0.875,3.791,2.373,0.453,0.000,0.141,0.875,-1.038,4.822,1.620
223.396,-0.872,3.782,2.386,0.453,-0.023,0.172,0.867,-1.049,4.831,1.597
223.498,-0.875,3.765,2.441,0.383,-0.031,0.188,0.898,-0.995,4.810,1.368
223.600,-0.861,3.750,2.488,0.211,-0.055,0.133,0.961,-0.663,4.769,0.092
223.701,-0.849,3.722,2.530,0.094,-0.078,0.086,0.984,-0.562,4.009,0.861
223.803,-0.849,3.670,2.611,0.039,-0.094,0.078,0.984,-0.404,3.930,0.231
223.905,-0.859,3.649,2.652,0.070,-0.086,0.094,0.984,-0.583,4.028,0.868
224.007,-0.876,3.613,2.723,0.156,-0.070,0.148,0.969,-0.600,4.624,0.042
224.109,-0.883,3.574,2.765,0.211,-0.039,0.117,0.961,-0.823,4.789,0.304
224.210,-0.883,3.532,2.798,0.297,0.000,0.133,0.938,-1.097,4.814,1.004
224.312,-0.885,3.500,2.812,0.398,0.055,0.156,0.898,-1.376,4.983,1.401
224.413,-0.890,3.490,2.810,0.484,0.086,0.172,0.844,-1.519,5.014,1.901
224.517,-0.898,3.484,2.806,0.539,0.117,0.180,0.805,-1.582,4.994,2.102
224.618,-0.903,3.483,2.804,0.563,0.133,0.195,0.789,-1.702,4.952,2.307
224.720,-0.903,3.483,2.804,0.563,0.133,0.195,0.789,-1.649,4.944,2.175
224.821,-0.931,3.506,2.776,0.555,0.133,0.188,0.789,-1.689,4.955,2.202
224.923,-0.941,3.517,2.770,0.563,0.148,0.203,0.773,-1.786,4.925,2.262
225.024,-0.941,3.517,2.770,0.563,0.148,0.203,0.773,-1.843,4.889,2.301
225.126,-0.957,3.541,2.760,0.570,0.172,0.219,0.766,-1.905,4.869,2.208
225.227,-0.973,3.568,2.750,0.547,0.188,0.227,0.773,-1.902,4.872,2.117
225.329,-1.001,3.604,2.740,0.523,0.172,0.250,0.789,-1.969,4.858,2.079
225.432,-1.029,3.645,2.735,0.516,0.188,0.273,0.781,-2.073,4.828,2.106
225.533,-1.055,3.687,2.734,0.523,0.211,0.289,0.766,-2.123,4.764,2.169
225.635,-1.076,3.727,2.733,0.516,0.227,0.297,0.758,-2.187,4.760,2.179
225.738,-1.076,3.727,2.733,0.516,0.227,0.297,0.758,-2.195,4.757,2.179
225.845,-1.098,3.767,2.731,0.508,0.250,0.313,0.750,-2.304,4.727,2.165
225.946,-1.123,3.807,2.731,0.500,0.273,0.320,0.750,-2.374,4.732,2.163
226.047,-1.123,3.807,2.731,0.500,0.273,0.320,0.750,-2.445,4.719,2.111
226.149,-1.152,3.824,2.721,0.477,0.289,0.344,0.750,-2.496,4.720,2.062
226.250,-1.152,3.824,2.721,0.477,0.289,0.344,0.750,-2.437,4.746,2.042
226.351,-1.153,3.811,2.709,0.477,0.266,0.320,0.766,-2.282,4.803,2.032
226.453,-1.137,3.785,2.710,0.492,0.219,0.273,0.789,-2.050,4.872,2.090
226.555,-1.113,3.721,2.711,0.531,0.156,0.195,0.805,-1.817,4.924,2.144
226.657,-1.098,3.649,2.707,0.555,0.102,0.133,0.805,-1.556,5.025,2.168
226.759,-1.091,3.562,2.702,0.563,0.055,0.070,0.813,-1.283,4.933,2.179
226.860,-1.081,3.445,2.701,0.547,0.000,-0.008,0.828,-1.058,4.821,2.112
226.962,-1.068,3.388,2.706,0.531,-0.031,-0.063,0.836,-0.831,4.797,2.013
227.064,-1.055,3.338,2.715,0.508,-0.078,-0.117,0.844,-0.602,4.794,1.928
227.166,-1.048,3.308,2.720,0.508,-0.094,-0.141,0.836,-0.482,4.734,1.926
227.268,-1.043,3.277,2.720,0.492,-0.117,-0.164,0.836,-0.397,4.678,1.891
227.373,-1.041,3.268,2.717,0.477,-0.141,-0.180,0.844,-0.264,4.606,1.831
227.474,-1.041,3.267,2.715,0.461,-0.164,-0.195,0.844,-0.136,4.531,1.809
227.576,-1.041,3.279,2.710,0.461,-0.195,-0.203,0.828,-0.039,4.477,1.843
227.678,-1.039,3.287,2.693,0.445,-0.219,-0.227,0.828,0.048,4.431,1.757
227.781,-1.039,3.287,2.693,0.445,-0.219,-0.227,0.828,0.055,4.408,1.817
227.884,-1.050,3.324,2.688,0.438,-0.250,-0.211,0.828,0.018,4.446,1.813
227.987,-1.056,3.344,2.689,0.438,-0.234,-0.180,0.844,-0.093,4.510,1.824
228.089,-1.050,3.353,2.691,0.445,-0.172,-0.148,0.859,-0.304,4.626,1.752
228.191,-1.045,3.352,2.693,0.445,-0.141,-0.133,0.867,-0.461,4.712,1.670
228.294,-1.027,3.335,2.690,0.422,-0.086,-0.172,0.875,-0.442,4.713,1.402
228.396,-1.006,3.298,2.694,0.414,-0.063,-0.164,0.891,-0.498,4.732,1.401
228.499,-0.999,3.292,2.702,0.430,-0.055,-0.141,0.883,-0.600,4.790,1.525
228.600,-0.966,3.270,2.720,0.438,-0.039,-0.070,0.891,-0.702,4.800,1.519
228.701,-0.947,3.262,2.719,0.422,-0.023,-0.047,0.898,-0.810,4.786,1.371
228.805,-0.909,3.259,2.712,0.383,-0.008,0.000,0.914,-0.903,4.796,1.136
228.907,-0.886,3.263,2.702,0.328,0.016,0.016,0.938,-0.990,4.809,0.743
229.010,-0.868,3.267,2.695,0.305,0.000,0.000,0.945,-0.868,4.793,0.582
229.111,-0.860,3.267,2.689,0.289,-0.008,-0.031,0.953,-0.667,4.812,0.319
229.213,-0.860,3.263,2.683,0.273,-0.016,-0.055,0.953,-0.708,4.778,0.272
229.314,-0.921,3.259,2.676,0.273,0.047,0.031,0.953,-1.256,4.821,0.180
229.415,-0.959,3.256,2.673,0.266,0.094,0.094,0.953,-1.514,4.274,0.864
229.516,-1.005,3.256,2.667,0.242,0.094,0.070,0.961,-1.628,4.646,0.047
229.617,-1.010,3.258,2.658,0.219,0.008,-0.070,0.969,-0.894,4.511,0.047
229.718,-0.992,3.241,2.649,0.180,-0.117,-0.305,0.922,-0.243,3.816,0.637
229.819,-0.975,3.213,2.652,0.141,-0.219,-0.461,0.844,0.614,3.250,0.051
229.921,-0.970,3.182,2.659,0.117,-0.266,-0.570,0.758,0.765,2.769,0.049
230.025,-0.943,3.162,2.647,0.109,-0.273,-0.625,0.711,0.802,2.575,0.048
230.126,-0.237,2.944,2.240,0.133,-0.289,-0.648,0.680,1.341,2.396,0.048
230.228,0.589,2.690,1.765,0.156,-0.297,-0.656,0.664,1.962,2.252,0.048
230.329,0.786,2.629,1.651,0.164,-0.313,-0.664,0.648,2.210,2.184,0.048
230.430,0.793,2.629,1.655,0.188,-0.328,-0.672,0.625,2.465,2.088,0.041
230.532,0.796,2.628,1.673,0.219,-0.375,-0.680,0.578,2.936,1.883,0.043
230.633,0.794,2.626,1.689,0.250,-0.414,-0.688,0.523,3.387,1.571,0.048
230.734,0.789,2.618,1.697,0.242,-0.445,-0.711,0.477,3.417,1.195,0.049
230.835,0.788,2.612,1.698,0.227,-0.453,-0.727,0.445,3.274,0.926,0.048
230.938,0.787,2.605,1.698,0.211,-0.453,-0.742,0.422,3.251,0.731,0.049
231.040,0.788,2.594,1.700,0.203,-0.469,-0.750,0.398,3.261,0.587,0.051
231.141,1.186,2.265,1.693,0.203,-0.477,-0.758,0.375,3.670,0.187,0.051
231.243,2.409,1.271,1.668,0.203,-0.477,-0.758,0.375,4.886,-0.823,0.052
