Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
21.374,-0.551,4.072,2.815,0.328,0.031,0.016,0.938,-0.684,4.788,1.957
21.562,-0.553,4.094,2.804,0.344,0.047,0.031,0.930,-0.675,4.807,2.009
21.672,-0.565,4.098,2.801,0.367,0.039,0.047,0.922,-0.675,4.811,2.087
21.776,-0.565,4.098,2.801,0.367,0.039,0.047,0.922,-0.669,4.816,2.118
21.883,-0.582,4.078,2.812,0.398,0.023,0.047,0.906,-0.672,4.824,2.138
21.990,-0.592,4.039,2.836,0.422,0.016,0.047,0.898,-0.661,4.856,2.150
22.092,-0.602,3.995,2.858,0.438,0.000,0.047,0.891,-0.650,4.830,2.232
22.194,-0.623,3.907,2.890,0.469,-0.008,0.039,0.875,-0.651,4.815,2.282
22.295,-0.653,3.809,2.913,0.492,0.000,0.039,0.867,-0.685,4.815,2.313
22.397,-0.688,3.714,2.930,0.484,0.000,0.023,0.867,-0.743,4.846,2.223
22.601,-0.763,3.540,2.973,0.438,0.031,0.086,0.891,-1.021,4.823,1.943
22.714,-0.776,3.492,2.985,0.406,0.039,0.109,0.898,-1.131,4.875,1.625
22.837,-0.795,3.422,2.987,0.352,0.047,0.148,0.914,-1.338,4.963,1.069
22.958,-0.811,3.361,2.978,0.297,0.070,0.234,0.922,-1.590,4.756,0.716
23.060,-0.814,3.325,2.971,0.266,0.086,0.297,0.906,-1.630,4.399,0.863
23.161,-0.812,3.305,2.967,0.250,0.094,0.328,0.898,-1.660,4.196,0.865
23.262,-0.805,3.284,2.962,0.234,0.094,0.359,0.891,-1.651,4.152,0.860
23.367,-0.769,3.222,2.940,0.156,0.109,0.430,0.875,-1.845,3.803,0.044
23.469,-0.754,3.200,2.931,0.133,0.117,0.445,0.867,-1.750,3.557,0.046
23.571,-0.740,3.176,2.922,0.109,0.117,0.469,0.859,-1.674,3.381,0.048
23.804,-0.714,3.132,2.909,0.086,0.117,0.523,0.836,-1.607,3.175,0.045
23.921,-0.714,3.132,2.909,0.086,0.117,0.523,0.836,-1.603,3.199,0.063
