Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
45.662,-0.000,-23.776,7.725,0.586,0.000,0.000,0.805,0.000,0.000,0.000
48.389,-1.366,-1.372,2.248,0.586,0.000,0.000,0.805,0.000,0.000,0.000
48.494,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
48.662,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
48.764,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
48.865,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
48.967,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.071,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.173,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.308,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.452,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.556,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.673,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.803,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
49.939,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.070,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.171,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.274,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.393,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.512,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.614,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.717,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.834,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
50.936,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.102,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.233,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.337,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.456,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.559,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.690,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.824,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
51.930,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.090,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.212,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.380,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.525,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.656,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.778,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
52.900,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.023,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.145,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.266,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.554,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.656,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.759,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.877,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
53.998,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.099,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.204,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.310,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.446,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.656,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.757,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.861,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
54.974,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.075,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.176,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.278,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.381,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.485,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.586,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.688,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.792,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.896,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
55.999,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.104,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.230,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.366,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.495,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.608,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.715,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.817,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
56.919,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.027,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.139,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.241,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.361,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.535,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.660,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.761,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.864,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
57.965,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.137,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.285,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.438,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.580,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.691,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.825,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
58.927,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
59.029,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
59.261,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
59.402,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
59.529,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,-0.148,3.782,0.421
59.631,-0.861,3.904,2.496,0.453,0.133,0.164,0.859,-1.440,5.008,1.675
59.733,-0.854,3.904,2.506,0.453,0.102,0.148,0.867,-1.257,4.876,1.810
59.835,-0.845,3.903,2.513,0.461,0.070,0.125,0.867,-1.097,4.825,1.846
59.936,-0.825,3.905,2.513,0.445,0.023,0.086,0.883,-0.962,4.807,1.824
60.038,-0.825,3.905,2.513,0.445,0.023,0.086,0.883,-0.915,4.797,1.801
60.139,-0.808,3.907,2.509,0.430,0.008,0.063,0.891,-0.901,4.797,1.768
60.241,-0.792,3.906,2.507,0.414,0.023,0.047,0.898,-0.928,4.804,1.738
60.423,-0.786,3.898,2.507,0.398,0.055,0.039,0.906,-0.975,4.829,1.621
60.546,-0.782,3.857,2.528,0.398,0.070,0.016,0.906,-0.964,4.830,1.698
60.654,-0.780,3.815,2.556,0.414,0.070,0.000,0.898,-0.964,4.839,1.790
60.790,-0.785,3.733,2.610,0.438,0.063,-0.008,0.891,-0.945,4.845,1.797
60.891,-0.805,3.639,2.648,0.453,0.047,0.008,0.883,-0.931,4.835,1.770
60.999,-0.845,3.498,2.671,0.469,0.023,0.016,0.875,-0.936,4.804,1.797
61.099,-0.878,3.407,2.681,0.477,0.016,0.000,0.875,-0.936,4.815,1.786
61.209,-0.913,3.318,2.697,0.484,0.008,0.000,0.867,-0.951,4.824,1.759
61.314,-0.944,3.230,2.716,0.461,0.008,0.023,0.883,-1.043,4.824,1.605
61.531,-0.972,3.138,2.732,0.453,0.023,0.063,0.883,-1.214,4.857,1.502
61.655,-0.980,3.094,2.737,0.461,0.023,0.078,0.875,-1.298,4.944,1.450
61.778,-0.981,3.048,2.738,0.461,0.023,0.094,0.875,-1.322,4.956,1.361
61.910,-0.977,3.002,2.737,0.445,0.023,0.102,0.883,-1.354,4.978,1.164
62.031,-0.978,2.967,2.731,0.422,0.031,0.117,0.891,-1.435,4.808,1.015
62.142,-0.986,2.919,2.723,0.367,0.047,0.141,0.914,-1.562,4.763,0.721
62.251,-0.993,2.902,2.715,0.336,0.055,0.156,0.922,-1.528,4.289,0.867
62.354,-1.014,2.877,2.700,0.281,0.070,0.203,0.930,-1.581,4.005,0.858
62.477,-1.035,2.867,2.679,0.219,0.070,0.203,0.945,-1.717,4.032,0.044
62.587,-1.048,2.867,2.666,0.188,0.055,0.195,0.953,-1.511,3.741,0.052
62.765,-1.113,2.886,2.633,0.117,0.023,0.133,0.977,-1.351,3.481,0.046
62.898,-1.146,2.896,2.626,0.094,0.016,0.109,0.984,-1.303,3.362,0.049
63.018,-1.181,2.906,2.620,0.086,0.016,0.078,0.992,-1.297,3.328,0.077
63.129,-1.241,3.097,2.204,0.078,0.008,0.023,0.992,-1.310,3.454,0.046
63.240,-1.308,3.332,1.688,0.078,0.008,-0.016,0.992,-1.330,3.618,0.045
63.341,-1.313,3.351,1.647,0.086,0.000,-0.023,0.992,-1.300,3.657,0.044
63.458,-1.313,3.350,1.658,0.117,-0.008,-0.078,0.984,-1.216,3.759,0.043
63.563,-1.298,3.347,1.672,0.156,-0.039,-0.125,0.977,-1.084,3.856,0.048
63.685,-1.276,3.342,1.684,0.180,-0.070,-0.180,0.961,-0.832,3.952,0.043
63.885,-1.224,3.323,1.705,0.227,-0.133,-0.289,0.914,-0.417,3.942,0.139
64.017,-1.191,3.300,1.720,0.250,-0.172,-0.336,0.883,-0.342,3.900,0.310
64.126,-1.191,3.300,1.720,0.250,-0.172,-0.336,0.883,-0.354,3.901,0.411
64.227,-1.167,3.280,1.729,0.273,-0.172,-0.352,0.867,-0.327,3.876,0.471
64.340,-1.167,3.280,1.729,0.273,-0.172,-0.352,0.867,-0.282,3.852,0.483
64.450,-1.127,3.255,1.734,0.281,-0.188,-0.375,0.852,-0.227,3.822,0.475
64.554,-1.127,3.255,1.734,0.281,-0.188,-0.375,0.852,-0.202,3.814,0.449
64.675,-1.092,3.228,1.742,0.273,-0.195,-0.391,0.852,-0.104,3.758,0.455
64.793,-1.084,3.219,1.744,0.305,-0.234,-0.422,0.813,-0.001,3.686,0.605
64.894,-1.080,3.218,1.750,0.305,-0.266,-0.469,0.773,0.160,3.598,0.614
64.996,-1.077,3.221,1.755,0.305,-0.297,-0.516,0.734,1.058,3.564,0.047
65.118,-1.076,3.229,1.771,0.305,-0.383,-0.594,0.633,1.790,3.020,0.048
65.225,-1.080,3.237,1.787,0.305,-0.453,-0.625,0.539,2.893,2.128,0.047
65.442,-1.102,3.264,1.814,0.273,-0.594,-0.648,0.367,6.072,-2.118,0.735
65.573,-1.113,3.278,1.821,0.258,-0.633,-0.656,0.305,9.880,-7.472,1.791
65.675,-1.125,3.292,1.831,0.258,-0.688,-0.617,0.250,3.661,-1.892,2.841
65.777,-1.139,3.307,1.841,0.281,-0.727,-0.578,0.219,3.626,-1.822,3.581
65.882,-1.145,3.315,1.845,0.297,-0.742,-0.555,0.219,3.642,-1.486,4.141
66.017,-1.151,3.328,1.852,0.336,-0.758,-0.500,0.219,3.334,-0.633,4.459
66.126,-1.149,3.333,1.855,0.359,-0.758,-0.477,0.227,3.196,0.052,4.548
66.228,-1.147,3.339,1.855,0.383,-0.758,-0.453,0.234,2.810,0.819,4.546
66.331,-1.148,3.347,1.856,0.438,-0.758,-0.406,0.242,2.534,1.252,4.559
66.447,-1.148,3.347,1.856,0.438,-0.758,-0.406,0.242,2.179,1.598,4.493
66.692,-1.169,3.341,1.859,0.398,-0.805,-0.375,0.180,1.201,1.362,4.546
66.815,-1.175,3.342,1.859,0.383,-0.828,-0.367,0.156,0.847,1.367,4.560
66.967,-1.179,3.346,1.859,0.359,-0.844,-0.359,0.141,0.565,1.471,4.534
67.090,-1.185,3.355,1.857,0.344,-0.859,-0.344,0.133,0.489,1.639,4.512
67.191,-1.185,3.355,1.857,0.344,-0.859,-0.344,0.133,0.556,1.700,4.553
