Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
370.418,-0.000,-23.776,7.725,0.586,0.000,0.000,0.805,0.000,0.000,0.000
372.833,-1.385,-1.061,2.172,0.539,-0.117,-0.180,0.805,-1.024,4.803,1.046
372.935,-1.471,0.350,1.827,0.516,-0.188,-0.289,0.773,0.027,4.444,0.947
373.036,-1.497,0.771,1.724,0.500,-0.227,-0.344,0.750,0.366,4.259,0.946
373.139,-1.600,2.462,1.311,0.406,-0.461,-0.586,0.516,1.982,3.419,1.146
373.241,-1.630,2.961,1.189,0.367,-0.539,-0.617,0.414,2.945,2.902,1.426
373.342,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.038,2.667,1.546
373.443,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.045,2.662,1.548
373.546,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.045,2.662,1.548
373.647,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.045,2.662,1.548
373.752,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.045,2.662,1.548
373.853,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.045,2.662,1.548
373.955,-1.638,3.082,1.159,0.352,-0.563,-0.625,0.391,3.045,2.662,1.548
374.057,-1.640,3.120,1.150,0.641,-0.039,0.000,0.766,-1.552,4.767,0.857
374.158,-0.936,3.830,2.233,0.648,-0.023,0.023,0.750,-0.935,4.802,2.092
374.259,-0.936,3.830,2.233,0.648,-0.023,0.023,0.750,-0.952,4.803,2.102
374.360,-0.936,3.830,2.233,0.648,-0.023,0.023,0.750,-0.950,4.804,2.110
374.461,-0.936,3.830,2.233,0.648,-0.023,0.023,0.750,-0.939,4.806,2.108
374.563,-0.936,3.830,2.233,0.648,-0.023,0.023,0.750,-0.944,4.814,2.082
374.664,-0.929,3.813,2.268,0.633,-0.016,0.039,0.766,-0.978,4.816,2.031
374.765,-0.905,3.786,2.310,0.555,0.000,0.117,0.820,-1.064,4.824,1.854
374.867,-0.894,3.770,2.329,0.516,-0.008,0.180,0.836,-1.068,4.842,1.696
374.972,-0.887,3.726,2.369,0.484,0.000,0.141,0.859,-1.045,4.827,1.657
375.074,-0.897,3.699,2.428,0.320,-0.016,0.125,0.930,-0.977,4.810,0.838
375.175,-0.893,3.677,2.481,0.109,-0.023,0.047,0.984,-0.762,4.181,0.041
375.276,-0.895,3.643,2.544,0.063,-0.063,0.047,0.992,-0.581,3.996,0.043
375.378,-0.902,3.624,2.587,0.078,-0.063,0.047,0.992,-0.665,4.072,0.451
375.479,-0.916,3.582,2.680,0.156,-0.039,0.086,0.977,-0.759,4.496,0.045
375.580,-0.917,3.540,2.731,0.211,-0.039,0.133,0.961,-0.839,4.761,0.204
375.681,-0.911,3.490,2.776,0.273,-0.023,0.133,0.945,-0.999,4.823,0.795
375.783,-0.904,3.437,2.804,0.367,0.023,0.133,0.914,-1.223,4.844,1.426
375.884,-0.906,3.427,2.799,0.500,0.039,0.141,0.852,-1.292,4.909,1.926
375.985,-0.907,3.424,2.793,0.555,0.070,0.125,0.813,-1.383,4.993,2.151
376.088,-0.908,3.426,2.787,0.578,0.078,0.125,0.797,-1.370,4.976,2.258
376.189,-0.908,3.426,2.787,0.578,0.078,0.125,0.797,-1.333,4.932,2.270
376.290,-0.908,3.426,2.787,0.578,0.078,0.125,0.797,-1.384,4.965,2.348
376.392,-0.925,3.485,2.768,0.617,0.102,0.141,0.758,-1.508,5.011,2.455
376.494,-0.938,3.521,2.763,0.641,0.156,0.164,0.727,-1.677,4.960,2.549
376.596,-0.955,3.567,2.756,0.625,0.172,0.188,0.734,-1.760,4.931,2.504
376.699,-0.971,3.613,2.753,0.609,0.188,0.203,0.734,-1.853,4.902,2.484
376.802,-0.988,3.662,2.749,0.602,0.211,0.227,0.727,-1.925,4.869,2.448
376.905,-1.007,3.705,2.743,0.586,0.219,0.242,0.734,-1.977,4.841,2.383
377.007,-1.060,3.782,2.724,0.539,0.242,0.273,0.750,-2.088,4.828,2.286
377.109,-1.077,3.803,2.703,0.492,0.250,0.258,0.781,-2.098,4.810,2.103
377.211,-1.077,3.803,2.703,0.492,0.250,0.258,0.781,-2.124,4.779,2.091
377.313,-1.091,3.818,2.697,0.492,0.250,0.289,0.773,-2.123,4.798,2.079
377.415,-1.091,3.818,2.697,0.492,0.250,0.289,0.773,-2.122,4.793,2.081
377.516,-1.091,3.818,2.697,0.492,0.250,0.289,0.773,-2.095,4.815,2.068
377.617,-1.090,3.812,2.701,0.492,0.219,0.281,0.789,-2.082,4.856,2.038
377.718,-1.077,3.785,2.708,0.484,0.195,0.266,0.805,-1.989,4.881,1.996
377.819,-1.067,3.743,2.712,0.492,0.172,0.242,0.813,-1.904,4.906,1.999
377.921,-1.059,3.700,2.712,0.500,0.148,0.219,0.813,-1.771,4.967,1.986
378.023,-1.047,3.624,2.702,0.500,0.102,0.172,0.836,-1.565,5.034,1.876
378.124,-1.042,3.513,2.680,0.477,0.047,0.086,0.867,-1.299,4.938,1.723
378.225,-1.048,3.412,2.671,0.430,0.016,0.016,0.898,-1.069,4.851,1.407
378.326,-1.056,3.336,2.674,0.383,0.000,-0.023,0.922,-0.934,4.824,1.042
378.427,-1.065,3.243,2.674,0.289,-0.016,-0.063,0.945,-0.831,4.789,0.381
378.529,-1.069,3.202,2.658,0.219,-0.016,-0.086,0.969,-0.822,4.362,0.049
378.630,-1.063,3.166,2.636,0.133,-0.031,-0.148,0.977,-0.757,3.850,0.048
378.732,-1.049,3.148,2.627,0.102,-0.055,-0.203,0.969,-0.636,3.618,0.048
378.834,-0.949,3.268,2.382,0.086,-0.070,-0.242,0.961,-0.500,3.594,0.049
378.936,-0.750,3.508,1.893,0.094,-0.078,-0.266,0.953,-0.344,3.792,0.048
