Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
9.051,-1.381,-1.122,2.187,0.539,-0.117,-0.180,0.805,-2.833,0.880,0.455
9.571,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
9.675,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
9.776,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
9.936,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.079,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.181,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.484,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.587,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.689,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.794,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
10.896,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.022,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.125,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.226,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.329,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.432,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.533,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.635,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.736,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.839,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
11.943,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.045,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.145,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.248,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.350,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.452,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.655,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.759,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.861,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
12.964,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
13.065,-1.639,3.099,1.155,0.352,-0.563,-0.625,0.391,-0.147,3.761,0.426
